"","lemma","n","rank","sum"
"638","100k",1,58066.5,638
"639","100K",1,58066.5,639
"640","102",1,58066.5,640
"641","104",1,58066.5,641
"642","108",1,58066.5,642
"643","10e",1,58066.5,643
"644","10Embed",1,58066.5,644
"645","10g",1,58066.5,645
"646","10k",1,58066.5,646
"647","10K",1,58066.5,647
"648","11-09-01",1,58066.5,648
"649","11 000",1,58066.5,649
"650","11.100",1,58066.5,650
"651","110",1,58066.5,651
"652","112",1,58066.5,652
"653","114",1,58066.5,653
"654","115",1,58066.5,654
"655","11667",1,58066.5,655
"656","1174061",1,58066.5,656
"657","118",1,58066.5,657
"658","11an",1,58066.5,658
"659","11H11",1,58066.5,659
"660","11th",1,58066.5,660
"661","12-13",1,58066.5,661
"662","12.12",1,58066.5,662
"663","1245B",1,58066.5,663
"664","125",1,58066.5,664
"665","127",1,58066.5,665
"666","12h",1,58066.5,666
"667","12m2",1,58066.5,667
"668","13-2Oh",1,58066.5,668
"669","1300",1,58066.5,669
"670","133",1,58066.5,670
"671","135e",1,58066.5,671
"672","139",1,58066.5,672
"673","13e",1,58066.5,673
"674","140",1,58066.5,674
"675","14000",1,58066.5,675
"676","147",1,58066.5,676
"677","148",1,58066.5,677
"678","14h",1,58066.5,678
"679","15 000e",1,58066.5,679
"680","15.6",1,58066.5,680
"681","1500",1,58066.5,681
"682","15000",1,58066.5,682
"683","15h",1,58066.5,683
"684","15th",1,58066.5,684
"685","16.64",1,58066.5,685
"686","16.8.78",1,58066.5,686
"687","16:9",1,58066.5,687
"688","160",1,58066.5,688
"689","162",1,58066.5,689
"690","1664",1,58066.5,690
"691","16h",1,58066.5,691
"692","17-08-75",1,58066.5,692
"693","170",1,58066.5,693
"694","172",1,58066.5,694
"695","180k",1,58066.5,695
"696","18e",1,58066.5,696
"697","18h",1,58066.5,697
"698","18H",1,58066.5,698
"699","19-4-75",1,58066.5,699
"700","19..213..",1,58066.5,700
"701","190K",1,58066.5,701
"702","1944",1,58066.5,702
"703","1950",1,58066.5,703
"704","1970",1,58066.5,704
"705","1975",1,58066.5,705
"706","1983",1,58066.5,706
"707","1989",1,58066.5,707
"708","1990",1,58066.5,708
"709","1996-2006",1,58066.5,709
"710","19Íme",1,58066.5,710
"711","19Ëme4",1,58066.5,711
"712","19H00-6H00",1,58066.5,712
"713","1e",1,58066.5,713
"714","1ere",1,58066.5,714
"715","1h",1,58066.5,715
"716","1so",1,58066.5,716
"717","1solent",1,58066.5,717
"718","1st",1,58066.5,718
"719","2-0",1,58066.5,719
"720","2-25",1,58066.5,720
"721","2-4",1,58066.5,721
"722","2-4-6",1,58066.5,722
"723","2-7-3-478",1,58066.5,723
"724","2-7-zer",1,58066.5,724
"725","2-Sour",1,58066.5,725
"726","2-zer",1,58066.5,726
"727","2!",1,58066.5,727
"728","2,3,4,5,6",1,58066.5,728
"729","2,4,6",1,58066.5,729
"730","2.0.0.1",1,58066.5,730
"731","2.0.0.5",1,58066.5,731
"732","2.0.0.7",1,58066.5,732
"733","2.0.13",1,58066.5,733
"734","2.0.15",1,58066.5,734
"735","2.0.2.1",1,58066.5,735
"736","2.0.31",1,58066.5,736
"737","2.000",1,58066.5,737
"738","2.10",1,58066.5,738
"739","2.2.1",1,58066.5,739
"740","2.2.2.7",1,58066.5,740
"741","2.4",1,58066.5,741
"742","2.4.3",1,58066.5,742
"743","2.716",1,58066.5,743
"744","2.727",1,58066.5,744
"745","2.741",1,58066.5,745
"746","2.75",1,58066.5,746
"747","20-13",1,58066.5,747
"748","20-21",1,58066.5,748
"749","20 000E",1,58066.5,749
"750","200 000",1,58066.5,750
"751","2000-2011",1,58066.5,751
